CandidateID,PositionID,JobTitle,ApplicationDate,Source,Stage,DateatStage
"""""""""""""""CAND--1""""""""""""""""""",POS-1,  IT   ,"""""""""""""""2026--01--20""""""""""""""", Employee Referral   ,   Applied  ,2026-01-20
CAND-2,"""""""POS--1""""""",   IT ,  2026-01-20 ,   Job Fair   ,  Screened   ,2026-01-27
 CAND-2 ,POS-1, IT ,2026-01-20, Job Fair   ,screened,"""""""""""""""2026--01--27"""""""""""
CAND-4,POS-1,IT, 2026-01-04 , Employee Referral , Rejected  ,#N/A
,POS-1,IT, 2025-11-22   , EMPLOYEE REFERRAL , APPLIED   ,"""""""""""2025--11--22"""""""""""
   CAND-5  ,"""""""""""POS--1""""""""""",   IT , 2025-11-22 ,  Employee Referral   ,  Applied   , 2025-11-22  
cand-6, POS-1  ,   IT  , 2025-11-22  , LinkedIn ,Rejected,   2025-11-28  
CAND-8,"""""""""""POS--1""""""""""""""", IT ,   2025-11-16  ,  Company Website ,Screened,
"""""""""""cand--9""""""""""""""""""","""""""""""""""""""POS--1""""""""""""""",N/A,  ,   Indeed  , Interview 1   ,   2025-11-24 
  CAND-10  , POS-1  ,it,   2025-11-16 ,   Job Fair  , Interview 2  ,"""2025--12--01"""
"""CAND--11""", POS-1 ,   IT ,   2025-11-16  ,   Employee Referral   ,  Offer  ,   2025-12-06 
"""""""""""""""CAND--12""""""""""""""",,"""""""""""IT""""""",  2025-11-16 , LinkedIn  , hired  ,#N/A
CAND-13,   POS-1   , it  ,   2025-10-24 ,"""""""""""""""""""Employee""""Referral""""""""""", applied   , 2025-10-24 
   CAND-14   ,"""POS--1""",  it  ,   2025-10-24   ,"""""""Employee""""Referral""""""""""",N/A,   2025-10-31   
"""CAND--14""",POS-1,IT,   2025-10-24 ,   employee referral  ,rejected,"""""""2025--10--31"""""""
CAND-15,"""""""""""""""POS--1""""""""""",   IT  ,   2026-01-10   ,"""""""""""""""Company""""Website""""""""""",Rejected,  2026-01-10 
 CAND-16   ,"""""""POS--1""""""",  IT   ,2025-12-18,   Indeed   ,"""""""""""Rejected""""""""""""""",2025-12-18
CAND-18,POS-1,  IT ,"""2026--01--29""", Company Website ,"""""""""""Screened""""""""""", NULL 
"""""""""""CAND--19""""""""""""""", pos-1  ,  IT   ,   2026-01-29 ,   LinkedIn  , Interview 1   ,N/A
"""""""""""CAND--20""""""""""",   POS-1   ,   IT  ,   2026-01-29   , Indeed , Interview 2 ,"""""""""""2026--02--08"""""""""""""""
CAND-20,  POS-1  ,"""""""IT""""""",   2026-01-29   ,Indeed,   Interview 2  ,  2026-02-08  
   CAND-22  , NULL ,IT,2026-01-29,job fair,Hired,2026-02-15
  ,   POS-1  ,  IT ,  2025-10-24  , Indeed  ,   Applied ,2025-10-24
 CAND-24 ,POS-1,IT, NULL ,  LinkedIn ,   screened  ,2025-10-26
   cand-25 ,#N/A, it ,  2025-10-24 ,Indeed,   Interview 1  ,    2025-10-31   
  CAND-26 ,POS-1,"""""""""""""""IT""""""""""",  2025-10-24   , Employee Referral ,  Interview 2   ,N/A
"""CAND--27""",POS-1, it   ,   2025-10-24    , NULL , Offer   ,2025-11-10
CAND-28,POS-1,   IT   ,#N/A,   employee referral ,  Hired   , 2025-11-16  
CAND-29, pos-1 ,  it  , 2026-01-30  ,"""""""""""EMPLOYEE""""REFERRAL""""""""""","""Rejected""",2026-01-30
 CAND-30  ,"""""""""""""""POS--1""""""","""""""IT""""""","""""""""""2026--01--25""""""""""",   JOB FAIR ,"""""""""""Rejected""""""""""""""", 2026-01-25  
"""""""CAND--31""""""""""""""",  POS-1   ,  IT ,2025-12-12,N/A,   applied ,#N/A
  ,N/A,  IT    ,2025-12-12,,"""""""SCREENED""""""",   2025-12-15   
CAND-33,"""""""POS--1""""""""""""""",IT,2025-12-12, linkedin  ,,  2025-12-18  
"""""""""""CAND--34""""""",POS-1,   IT , 2025-12-12   , Employee Referral   ,    Interview 2   ,  2025-12-21   
"""""""CAND--35""""""",,IT,2025-12-12, Company Website   ,Offer,"""""""2025--12--27"""""""""""
CAND-36,   pos-1  ,"""""""""""IT""""""""""""""""""",  2025-12-12 ,LinkedIn, Hired ,   2025-12-29   
   CAND-37  , POS-1   ,"""""""""""IT""""""""""","""""""""""""""2026--01--26""""""""""""""",Company Website,"""""""""""Applied""""""",2026-01-26
"""""""CAND--38""""""""""", POS-1  ,   it  ,  2026-01-26   ,  ,   Rejected  ,"""""""""""""""2026--01--28"""""""""""
  CAND-39  ,  POS-1  , NULL ,"""""""""""""""2026--01--18""""""",  Job Fair    , Rejected   ,"""""""""""""""""""2026--01--18"""""""""""""""""""
#N/A,POS-1,#N/A,  2025-12-22 ,#N/A,  Applied ,   2025-12-22 
"""""""CAND--41""""""",   POS-1  ,"""""""""""it""""""","""""""2025--12--22""""""",  Company Website ,N/A, 2025-12-26   
"""""""CAND--42""""""",  POS-1  ,  IT  ,,, Applied ,
CAND-43, POS-1  ,  ,"""""""""""""""2026--01--23""""""", Company Website ,  Screened ,  2026-01-30  
N/A,"""pos--1""",  , 2026-01-23 , LINKEDIN  , Rejected  , 2026-02-01  
"""""""""""""""cand--45""""""""""", POS-1  ,,N/A,Job Fair,    Applied  ,   2025-12-30 
 NULL , POS-1 ,"""""""IT""""""",2025-12-30,"""""""""""""""JOB""""FAIR""""""""""", rejected ,2026-01-02
CAND-47, POS-1   , IT   ,2025-11-24,N/A,Applied,"""""""""""""""""""2025--11--24"""""""""""
#N/A,  ,N/A,#N/A,Company Website, Rejected   ,   2025-11-28 
CAND-49,"""POS--1""",   IT  ,"""""""2025--12--27""""""",Employee Referral, APPLIED   ,  2025-12-27  
CAND-50,  pos-1  ,    IT    , 2025-12-27 ,"""""""""""""""Company""""Website""""""""""""""",  screened   ,  2025-12-29   
"""""""CAND--51""""""", NULL , it  ,   2025-12-27 ,    Indeed    ,Interview 1,  
  CAND-51  ,"""POS--1""","""""""""""IT""""""",2025-12-27,"""Indeed""",Interview 1,   2026-01-03  
  CAND-53 ,  pos-1  ,   IT  ,#N/A,"""""""Company""""Website""""""","""""""""""""""Applied""""""""""""""",   2025-12-26 
"""""""CAND--54""""""""""",   POS-1  ,IT, 2025-12-26 ,  ,    Screened    ,   2026-01-02  
  CAND-55    ,"""""""""""""""POS--1""""""""""""""",   it  ,    2025-12-26   ,  Employee Referral  ,  Interview 1  ,  2026-01-07  
 CAND-56  ,POS-1,   it ,   2025-12-26   ,"""""""""""""""Employee""""Referral""""""""""""""",Interview 2,2026-01-11
cand-57,  POS-1   , it ,2025-12-26,"""Company""""Website""",   Offer ,2026-01-15
CAND-58,   POS-1 ,"""IT""","""2025--12--26""",job fair,"""hired""",2026-01-20
   CAND-59   , POS-1 , IT  , 2026-01-28  , LinkedIn , Applied   ,
CAND-59,"""""""""""POS--1""""""""""","""""""it""""""""""""""",   2026-01-28  ,  LinkedIn  ,  APPLIED , 2026-01-28  
 CAND-61  ,POS-1,"""""""it""""""",  2026-01-28 ,Employee Referral,Interview 1,    2026-02-07   
N/A,"""""""""""POS--1""""""""""""""""""",it, 2026-01-28  ,"""""""""""""""Indeed""""""""""""""",   Interview 2 ,N/A
    CAND-63   ,  POS-1 , IT  , NULL ,"""""""job""""fair""""""""""",Rejected,2026-02-17
#N/A,   POS-1 ,it,2026-01-05,   JOB FAIR  ,  APPLIED ,N/A
   CAND-64   ,  POS-1   ,  IT , 2026-01-05   ,  Job Fair   ,"""""""""""APPLIED""""""""""",2026-01-05
"""CAND--66""", POS-1  ,N/A,   2026-01-09   ,#N/A,"""""""""""Rejected""""""""""""""",   2026-01-09   
